CONTROL_NUMBER_N,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
15042,137,,0,R,2,49,H,M,1,1,P,0,5,365,255,77,11180,0,30,39,37,1,11,A,1,0.048,15,0,0,1,0,30,30,70,104,15,6.93,22,25,3,25,6,13,18,126,6.93,9
15043,125,,0,T,1,34,U,M,,0,N,0,6,798,365,60,16234,0,29,48,10,0,0,A,2,0.095,4.5,0.2,4.5,2,2,32,28,64,83,13,6.38,17,20,3,3,6,11,18,104,6.38,4
15044,29,46,0,T,1,34,U,M,5,1,B,1,,763,316,52,12903,36,29,32,15,1,0,A,4,0.462,5.5,0.667,5.5,6,4,16,10,25,33,6,5.5,4,7,3,7,6,13,16,29,5.5,4
15045,137,,0,T,2,36,U,F,,0,N,0,5,452,243,76,10696,0,16,50,12,1,1,S,2,0.1,9,0,0,2,0,18,33,80,198,30,6.6,23,25,2,11,6,13,18,130,6.6,17
15046,137,38,0,T,2,40,H,F,5,1,B,1,6,948,531,93,19537,0,40,44,17,1,1,S,4,0.474,5,0.5,5,9,5,15,32,79,181,33,5.48,7,10,3,5,5,12,15,128,5.48,18
15047,29,59,0,S,1,13,H,F,7,1,B,2,,1318,388,60,27280,0,46,22,60,0,0,N,1,0.1,20,0.25,20,1,1,24,6,15,20,1,20,0,20,20,20,3,7,24,24,20,1
15048,17,63,0,U,2,7,H,M,4,1,B,22,,2130,315,29,11583,0,16,20,34,0,0,F,1,0.2,15,0.5,15,1,1,16,5,13,15,1,15,0,15,15,15,4,11,16,16,15,1
15049,17,39,0,C,1,24,H,F,1,0,P,0,,2044,649,92,23910,1,43,46,18,0,0,F,1,0.25,20,0.5,20,1,1,19,5,11,20,1,20,0,20,20,20,4,10,19,19,20,1
15050,101,38,0,R,2,47,H,M,6,1,B,1,2,370,151,65,8933,0,24,26,41,1,1,S,4,0.286,14.5,0.3,15,6,3,18,28,71,206,18,11.44,14,17,3,10,6,14,18,100,11.44,13
15051,137,,0,U,2,5,U,F,,1,N,0,,536,255,87,12761,0,41,57,34,0,0,E,2,0.375,15.33,0.5,17,3,2,18,17,42,136,17,8,23,25,2,25,1,6,18,110,8,11
15052,89,,0,U,1,1,U,M,2,1,P,0,9,2459,264,18,19430,0,28,25,50,1,1,S,2,0.2,8,0.333,8,2,2,24,17,43,87,15,5.8,7,10,3,10,4,7,24,80,5.8,11
15053,41,,0,R,2,43,H,F,4,0,P,0,,1233,310,66,11450,1,27,28,25,1,1,S,4,0.381,9,0.7,9.14,8,7,19,16,41,103,13,7.92,5,10,5,8,6,13,19,44,7.92,8
15054,17,39,0,U,2,5,H,M,2,1,B,2,,2761,479,75,18370,0,38,35,38,0,0,F,1,0.2,20,0.5,20,1,1,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,1
15055,113,52,0,S,1,12,H,F,6,1,B,9,8,730,258,89,14428,1,46,23,46,1,0,A,2,0.15,15.33,0.222,15,3,2,17,26,65,108,12,9,13,16,3,16,6,13,17,102,9,7
15056,137,80,0,T,2,36,H,F,1,1,B,1,6,617,294,79,13596,0,37,21,36,1,1,S,2,0.143,10,0.182,10,3,2,21,33,84,305,42,7.26,5,10,5,5,5,13,18,130,7.26,21
15057,29,40,0,C,1,24,H,M,5,1,M,0,,962,513,90,19036,10,35,29,22,0,0,N,3,0.3,11.67,0.4,12.5,3,2,18,9,23,35,3,11.67,15,20,5,10,6,14,18,23,11.67,2
15058,137,84,0,R,2,46,H,F,5,0,P,0,,1506,517,74,39301,0,31,23,25,1,21,A,1,0.045,50,0,0,1,0,18,30,75,395,12,32.92,55,60,5,50,6,13,18,129,32.92,7
15059,41,,0,U,3,9,U,F,,0,N,0,,641,278,32,13653,2,25,22,22,0,0,E,2,0.25,12,0.25,15,2,1,23,8,15,53,5,10.6,10,15,5,15,2,4,23,44,10.6,4
15060,41,63,0,C,3,31,U,M,1,0,B,0,,363,78,39,8835,0,35,32,31,0,0,A,2,0.15,20.67,0.2,18.5,3,2,18,15,37,92,5,18.4,15,25,10,25,6,13,18,41,18.4,3
15061,137,79,1,C,2,27,H,F,3,1,B,11,8,1010,407,87,23774,0,34,28,45,1,4,A,1,0.15,8.33,0.111,5,3,1,18,33,83,143,19,7.53,8,12,4,10,7,22,6,131,7.53,11
15062,125,56,0,C,3,30,H,F,2,0,B,14,1,391,154,57,8354,0,20,41,0,1,0,A,1,0.095,16,0.1,15,2,1,18,30,69,90.5,13,6.96,15.5,17,1.5,17,6,13,18,124,6.96,11
15063,137,83,1,R,2,48,H,F,1,1,B,1,3,242,126,65,8214,0,19,0,99,1,0,A,1,0.048,20,0,0,1,0,26,34,87,449,24,18.71,25,30,5,20,6,12,26,131,18.71,10
15064,89,83,0,S,1,15,U,F,,1,N,0,4,1659,571,95,35028,0,25,26,50,1,1,S,4,0.688,16.64,0.778,16.14,11,7,16,18,50,423,34,12.44,18,21,3,18,4,10,16,89,12.44,14
15065,17,,0,T,2,36,U,U,,0,N,0,,554,191,58,11127,0,34,6,51,0,0,F,1,0.25,15,0.5,15,1,1,17,5,12,15,1,15,0,15,15,15,4,10,17,17,15,1
15066,137,37,0,S,2,17,H,F,4,0,P,0,,1053,350,35,15779,19,46,39,13,1,1,S,3,0.308,9.75,0.5,9.67,4,3,18,26,65,125,16,7.81,6,11,5,10,6,13,18,127,7.81,12
15067,29,25,0,S,2,18,H,F,4,0,B,0,,1621,425,66,15879,0,24,54,16,1,0,A,3,0.333,10,0.5,10,4,3,15,10,24,40,4,10,0,10,10,10,5,12,15,29,10,3
15068,125,,0,?,?,,U,M,3,0,M,0,,876,281,78,11807,0,36,32,29,1,1,S,4,0.545,5.17,0.5,5,6,3,18,22,51,153,41,3.73,4,6,2,6,5,12,18,111,3.73,20
15069,137,,0,R,3,51,U,F,1,1,P,0,2,342,156,74,8201,1,29,26,50,1,0,A,1,0.077,15,0.2,15,1,1,20,24,67,102,15,6.8,13,15,2,15,4,11,20,127,6.8,12
15070,101,,0,C,1,23,U,F,,0,N,0,,5048,313,40,40460,0,45,23,53,1,1,E,3,0.5,17.25,1,17.25,4,4,17,16,35,233,16,14.56,17,20,3,17,2,4,17,93,14.56,13
15071,41,35,0,C,2,27,H,F,3,1,M,0,4,739,386,93,16482,0,30,18,44,1,1,S,4,0.381,10.5,0.636,10.14,8,7,21,17,40,110,11,10,10,15,5,10,6,13,21,43,10,8
15072,29,73,0,T,2,40,H,F,7,1,P,0,,1697,443,72,18213,0,25,35,20,1,0,A,2,0.2,23.33,0.286,22.5,3,2,19,11,26,70,3,23.33,5,25,20,25,6,13,19,30,23.33,2
15073,101,68,0,T,1,35,H,F,2,1,B,38,,924,414,90,14092,7,39,62,14,1,0,A,3,0.231,6.67,0.5,6.67,3,3,16,17,45,56,12,4.67,6,8,2,8,4,9,16,93,4.67,7
15074,137,68,0,R,2,46,U,M,1,0,P,0,5,393,243,73,12863,0,32,18,37,1,0,N,2,0.105,10,0.111,15,2,1,17,30,73,117,10,11.7,11,16,5,16,7,17,8,119,11.7,7
15075,137,49,0,S,1,13,H,M,6,0,P,0,9,1302,632,94,27262,0,41,44,51,1,3,A,1,0.1,12.5,0.1,15,2,1,26,30,74,218,24,9.08,14,15,1,10,4,10,26,130,9.08,12
15076,77,,0,S,1,11,U,F,,0,N,0,9,502,247,58,11053,0,25,29,41,0,0,A,2,0.211,12,0.333,12,4,3,16,22,56,99,11,9,11,14,3,14,6,16,16,76,9,6
15077,17,51,0,R,2,49,U,M,2,1,P,0,,642,296,82,12398,0,35,29,25,0,0,F,1,0.2,20,0.5,20,1,1,17,5,13,20,1,20,0,20,20,20,4,10,17,17,20,1
15078,17,81,0,T,2,37,H,F,2,1,B,2,,336,219,84,9534,0,32,27,47,0,0,F,2,0,0,0,0,0,0,,5,15,26,2,13,6,16,10,16,5,13,15,19,13,0
15079,101,70,0,U,1,2,H,F,5,1,P,0,6,2366,1086,94,45785,0,15,16,32,1,0,A,2,0.158,11.67,0.1,10,3,1,18,26,57,90,11,8.18,10,13,3,13,6,13,18,91,8.18,6
15080,101,51,0,C,3,31,U,F,,0,N,0,2,295,154,23,9732,0,36,10,27,1,1,S,3,0.238,10.8,0.273,10,5,3,23,28,69,192,23,8.35,8,13,5,10,6,13,18,101,8.35,11
15081,41,37,0,U,4,10,U,M,,0,N,0,,503,140,45,6590,0,5,0,59,0,0,A,1,0.136,14,0.091,7,3,1,19,17,39,58,5,11.6,15,20,5,20,6,13,19,44,11.6,2
15082,41,75,0,U,3,8,U,M,,0,N,0,,712,226,68,12549,0,41,26,48,0,0,A,1,0.136,49.67,0.182,51.5,3,2,22,16,37,224,5,44.8,28,53,25,53,6,13,22,41,44.8,3
15083,113,79,0,S,1,15,H,M,4,1,M,1,7,722,294,43,17132,1,35,24,30,1,4,A,1,0.143,21.67,0.273,21.67,3,3,25,30,75,271,16,16.94,21,25,4,20,6,13,25,113,16.94,10
15084,65,,0,?,?,,U,M,5,0,P,0,5,1287,418,75,18427,0,0,0,0,0,0,A,3,0.158,14.33,0.111,14,3,1,17,24,66,106,8,13.25,6,16,10,14,6,18,17,55,13.25,2
15085,137,53,0,T,1,34,U,M,,0,N,0,7,791,328,73,16757,1,41,27,50,1,0,A,2,0.136,19.67,0.273,19.67,3,3,20,32,69,224,13,17.23,14,24,10,17,6,13,20,124,17.23,8
15086,137,,0,T,2,36,U,F,4,0,M,30,4,977,436,85,18349,0,46,31,33,1,15,A,1,0.091,55,0.091,60,2,1,19,34,74,334,13,25.69,55,60,5,60,6,13,19,128,25.69,8
15087,17,30,0,R,2,44,H,F,3,1,B,3,,509,373,86,12992,0,19,11,29,0,0,F,1,0.143,15,0,0,1,0,19,6,15,15,1,15,0,15,15,15,4,10,19,19,15,0
15088,101,,0,S,1,12,H,U,5,0,P,0,9,1115,512,87,20171,0,43,24,48,1,1,S,4,0.263,5.6,0.333,5.67,5,3,15,24,64,81,21,3.86,5,7,2,7,6,13,15,91,3.86,9
15089,29,67,0,C,2,25,H,F,5,0,B,0,,679,192,37,10024,0,14,35,22,0,0,A,1,0.143,15,0,0,2,0,18,10,24,30,2,15,0,15,15,15,5,12,18,27,15,0
15090,77,74,0,C,2,26,H,M,4,0,M,2,5,912,313,68,18554,0,48,15,63,1,1,S,2,0.19,13.5,0.273,14.67,4,3,17,23,60,147,10,14.7,12,22,10,12,6,15,17,69,14.7,8
15091,29,,0,R,3,51,U,F,,0,N,0,,456,165,80,7768,0,28,20,37,1,0,A,4,0.308,4.75,0.333,5.5,4,2,15,10,24,26,6,4.33,3,6,3,4,6,13,15,29,4.33,2
15092,137,75,0,T,2,37,H,F,3,1,B,6,5,339,132,52,9718,0,32,23,44,1,0,A,1,0.067,12,0,0,1,0,18,32,72,173,24,7.21,9,12,3,12,5,12,18,127,7.21,15
15093,89,79,0,R,3,51,H,F,1,0,P,0,1,317,188,80,8936,0,29,39,35,1,0,A,1,0.227,11.6,0,0,5,0,26,22,53,110,15,7.33,9,12,3,12,5,11,26,81,7.33,3
15094,29,,0,R,3,53,U,M,3,0,M,0,,362,196,79,10116,0,31,21,45,0,0,A,1,0.154,16,0,0,2,0,18,9,21,32,2,16,2,17,15,17,4,10,18,28,16,0
15095,53,51,0,C,1,24,H,F,6,1,B,18,,786,514,88,16930,0,22,51,8,0,0,A,4,0.294,9.4,0.444,9.25,5,4,22,14,33,65,8,8.13,7,10,3,10,6,12,22,53,8.13,5
15096,125,52,0,R,2,46,H,F,7,1,P,0,3,619,172,84,10705,0,35,18,28,1,1,S,4,0.381,11.63,0.364,11.5,8,4,17,30,74,189,23,8.22,11,14,3,10,6,14,15,124,8.22,12
15097,29,,0,?,?,,U,M,,0,N,0,,745,429,73,13502,0,0,0,0,1,0,A,2,0.375,21.67,0.625,24,6,5,17,22,56,180,8,22.5,23,33,10,27,11,26,17,32,22.5,7
15098,101,75,0,T,2,38,H,M,4,1,B,43,0,714,265,49,15724,0,45,29,33,0,0,A,4,0.2,10,0.111,10,4,1,15,25,66,100,13,7.69,5,10,5,10,6,15,15,101,7.69,4
15099,17,,0,T,3,41,U,F,,0,N,0,,515,213,55,11635,0,0,0,0,0,0,F,1,0.2,25,0.5,25,1,1,16,6,14,25,1,25,0,25,25,25,5,12,16,16,25,1
15100,101,49,0,T,2,36,U,F,,1,N,0,7,598,199,54,8243,0,37,26,38,1,1,S,2,0.15,10.67,0.222,11,3,2,16,26,65,82,10,8.2,9,12,3,12,6,14,16,105,8.2,8
15101,125,,0,R,3,51,U,F,,0,N,0,2,278,158,79,8347,0,33,21,37,1,0,F,1,0.067,15,0.167,15,1,1,18,22,59,64,6,10.67,8,15,7,15,5,15,18,125,10.67,4
15102,89,17,0,S,2,20,H,F,4,1,B,3,6,877,332,72,16670,0,38,31,45,0,0,A,2,0.214,14,0.333,15,3,2,17,17,51,67,6,11.17,10,15,5,15,6,13,17,80,11.17,3
15103,101,41,0,C,2,27,U,F,5,0,P,0,,558,344,57,14032,0,28,44,17,1,1,S,4,0.158,7.67,0,0,3,0,15,23,57,70,11,6.36,7,10,3,6,6,13,15,92,6.36,5
15104,29,,0,R,3,53,U,M,,0,N,0,,468,254,76,11472,0,31,34,33,1,0,A,3,0.364,8,0.4,7.5,4,2,15,9,25,32,4,8,5,10,5,7,5,14,15,29,8,2
15105,41,37,0,S,2,16,H,F,5,1,B,0,7,762,406,89,16547,0,31,13,47,0,0,A,3,0.227,9.2,0.273,8.33,5,3,15,16,38,63,8,7.88,6,11,5,10,6,13,15,44,7.88,4
15106,17,60,0,T,3,41,H,U,4,1,B,1,,382,208,64,9691,2,34,38,32,0,0,N,1,0.143,15,0.333,15,1,1,21,5,14,15,1,15,0,15,15,15,3,8,21,21,15,1
15107,17,33,0,R,2,44,U,M,3,1,B,1,,821,357,87,13548,0,37,32,30,0,0,F,1,0.2,20,0,0,1,0,18,5,13,20,1,20,0,20,20,20,4,11,18,18,20,0
15108,17,68,0,S,1,12,H,M,4,0,B,33,,2776,651,84,19603,0,30,44,12,0,0,N,2,0.333,12.5,0.667,12.5,2,2,15,7,15,25,2,12.5,5,15,10,15,5,10,15,21,12.5,2
15109,29,,0,T,2,36,U,U,,1,N,0,,537,180,51,11078,2,43,19,45,1,0,E,3,0.4,12.5,0.667,12.5,2,2,15,5,10,45,3,15,10,20,10,15,2,6,15,24,15,3
15110,29,,0,S,1,12,U,F,,1,N,0,,899,504,93,17300,2,43,48,11,1,0,E,3,0.6,10,1,10,3,3,16,5,9,30,3,10,0,10,10,10,2,4,16,24,10,3
15111,17,42,0,S,1,11,H,M,5,1,B,5,,3582,490,80,32606,0,21,44,35,0,0,F,1,0.2,20,0.5,20,1,1,18,5,12,20,1,20,0,20,20,20,4,10,18,18,20,1
15112,113,50,1,T,2,39,U,F,,0,N,0,,833,179,79,12452,0,15,13,40,1,1,S,4,0.278,4.6,0.286,5,5,2,15,20,51,48,10,4.8,2,5,3,5,5,12,15,104,4.8,5
15113,65,48,0,S,1,11,H,M,5,1,B,1,9,1830,581,79,26464,1,31,22,35,0,0,A,2,0.095,21.5,0.1,28,2,1,16,20,47,87,7,12.43,23,28,5,28,6,14,16,61,12.43,4
15114,101,,0,R,3,51,U,F,4,1,B,1,3,350,256,86,9935,1,31,25,32,0,0,A,1,0.1,20,0,0,2,0,24,25,60,119,9,13.22,17,20,3,20,6,11,24,89,13.22,3
15115,89,59,0,T,2,36,U,F,2,1,B,1,3,634,268,65,13681,0,29,37,28,0,0,A,1,0.1,20,0.222,20,2,2,16,22,59,74,6,12.33,15,20,5,20,6,15,16,89,12.33,4
15116,125,46,0,S,2,17,U,U,,0,N,0,6,827,252,28,13393,0,20,64,25,1,5,A,1,0.095,18,0,0,2,0,20,31,76,141,13,10.85,15,18,3,18,6,13,20,126,10.85,8
15117,29,,0,?,?,,U,F,3,1,B,1,,618,278,85,11899,0,0,0,0,1,0,A,4,0.455,5.8,0.5,6.33,5,3,17,10,23,29,5,5.8,2,7,5,7,6,11,17,28,5.8,3
15118,29,47,0,R,1,42,H,U,2,1,P,0,,858,383,92,14474,0,25,30,18,0,0,A,1,0.154,15,0.333,15,2,2,24,10,24,30,2,15,20,25,5,25,6,13,24,29,15,2
15119,29,47,0,U,1,2,H,M,6,0,P,0,,2794,637,85,23035,0,31,27,14,1,0,N,3,0.308,8,0.5,7.33,4,3,15,10,23,32,4,8,5,10,5,10,6,13,15,27,8,3
15120,29,,0,S,3,21,U,M,,0,N,0,,2522,502,61,19222,0,0,0,0,0,0,E,1,0.182,15,0.2,10,2,1,15,8,20,30,2,15,10,20,10,20,3,9,15,29,15,1
15121,29,62,0,S,1,11,U,F,5,0,B,0,,1164,532,60,19108,0,15,0,42,0,0,A,2,0.167,16.67,0.25,15,3,2,25,12,29,50,3,16.67,10,20,10,20,6,11,25,33,16.67,2
15122,29,57,0,S,2,17,H,M,6,1,B,3,,651,277,49,13724,10,37,35,23,0,0,A,1,0.143,18,0.333,18,2,2,22,9,23,36,2,18,6,21,15,21,4,10,22,29,18,2
15123,17,66,0,S,1,13,H,M,7,1,B,7,,1711,479,97,26817,0,40,0,63,0,0,N,2,0.25,16,0.5,16,1,1,17,6,16,26,2,13,6,16,10,10,5,14,15,17,13,1
15124,41,33,0,T,2,39,U,F,2,1,B,0,,748,352,87,13998,0,48,41,12,0,0,A,1,0.105,12.5,0,0,2,0,26,12,30,30,3,10,10,15,5,15,4,10,26,39,10,0
15125,113,82,0,U,2,4,U,F,,0,N,0,3,5073,562,52,35125,0,25,16,56,1,1,S,3,0.421,3.5,0.545,3.67,8,6,20,31,72,117,36,3.25,3,5,2,5,6,12,20,113,3.25,19
15126,41,59,0,U,1,2,H,F,4,0,P,0,,3599,562,87,20429,0,15,32,13,0,0,A,1,0.095,15,0.182,15,2,2,16,16,36,50,4,12.5,10,15,5,15,5,12,16,41,12.5,3
15127,65,51,0,C,3,33,H,M,4,1,B,3,1,566,218,88,11438,0,53,6,71,1,1,S,3,0.211,6.25,0.3,6.67,4,3,15,20,47,68,13,5.23,8,10,2,5,5,11,15,65,5.23,8
15128,41,,0,U,1,1,U,M,5,0,M,2,,3912,351,17,19508,0,15,54,21,1,0,A,4,0.333,6.17,0.556,5.4,6,5,18,14,33,42,7,6,5,10,5,10,6,13,18,40,6,6
15129,77,49,0,S,2,18,H,F,6,1,B,0,7,979,415,82,14963,0,25,40,23,1,0,A,1,0.048,15,0,0,1,0,26,22,53,95,10,9.5,10,15,5,15,5,10,26,75,9.5,5
15130,41,79,0,C,3,31,U,F,1,1,B,12,5,645,201,52,12975,0,27,27,42,0,0,A,1,0.063,15,0,0,1,0,19,11,30,30,3,10,10,15,5,15,4,10,19,45,10,1
15131,137,54,0,C,3,30,H,M,5,1,B,21,5,651,258,61,12816,0,32,27,22,1,1,S,4,0.273,9,0.455,6.6,6,5,17,36,89,245,36,6.81,19,21,2,5,6,14,17,128,6.81,22
15132,113,81,0,T,2,36,H,F,2,1,B,240,2,842,463,62,15371,0,37,21,43,1,6,N,1,0.095,15,0.1,25,2,1,21,34,95,228,23,9.91,20,25,5,5,8,22,19,113,9.91,13
15133,77,7,0,S,1,13,H,F,7,1,B,1,8,2947,564,95,44438,0,62,14,78,0,0,A,1,0.053,35,0.111,35,1,1,17,21,55,120,4,30,10,35,25,35,5,12,17,75,30,3
15134,137,,0,R,2,49,U,F,2,1,B,5,5,612,281,84,11529,0,28,28,36,1,0,A,2,0.25,7,0.25,4,4,2,16,25,59,95,17,5.59,10,10,0,0,4,9,6,110,5.59,8
15135,113,72,1,T,2,40,H,F,1,0,B,8,8,598,292,73,12864,0,20,6,64,1,1,S,3,0.25,7.5,0.375,7.67,4,3,21,31,122,219,32,6.84,6,9,3,7,7,37,8,105,6.84,12
15136,29,,0,S,2,18,H,M,5,0,P,0,,904,418,88,14918,0,34,30,13,0,0,A,4,0.273,6,0.667,6.5,3,2,16,7,23,28,5,5.6,4,7,3,7,5,13,15,31,5.6,2
15137,137,50,0,R,2,44,U,F,2,1,B,0,5,658,413,84,15160,0,29,36,21,0,0,A,1,0.056,15,0,0,1,0,19,28,57,65,6,10.83,10,15,5,15,4,10,19,129,10.83,5
15138,77,,1,R,3,51,U,F,2,0,P,0,6,359,189,77,10904,0,30,37,37,1,1,S,2,0.15,10.67,0.222,10,3,2,18,21,83,188,17,11.06,8,18,10,12,6,26,18,67,11.06,6
15139,89,46,0,R,2,49,U,F,2,1,M,0,2,411,254,72,8948,0,20,24,29,1,17,A,1,0.095,15,0.1,15,2,1,19,25,61,112,12,9.33,12,15,3,15,6,13,19,88,9.33,7
15140,29,37,0,T,2,40,U,F,3,1,B,0,,682,366,82,14538,0,27,29,26,1,0,A,4,0.467,7.71,0.75,7.33,7,6,16,12,29,64,8,8,5,10,5,7,6,14,16,29,8,6
15141,65,,0,U,1,2,U,U,7,1,B,15,8,1654,504,79,20557,0,10,23,77,0,0,A,1,0.105,13,0.111,10,2,1,19,20,51,81,9,9,11,16,5,16,6,13,19,64,9,4
15142,29,57,0,U,2,4,H,M,5,0,P,0,,2298,290,11,13270,0,23,41,20,0,0,A,1,0.143,25,0.286,25,2,2,23,11,26,50,2,25,0,25,25,25,6,13,23,28,25,2
15143,113,46,0,S,2,16,H,M,2,1,B,1,5,560,301,84,13747,0,50,28,49,1,0,A,3,0.19,11.25,0.2,10,4,2,16,29,72,137,18,7.61,12,15,3,10,6,14,16,113,7.61,9
15144,53,,0,C,2,26,U,F,1,1,B,12,7,893,502,88,18940,0,43,35,29,0,0,A,3,0.2,12.5,0.111,13,4,1,19,15,41,65,6,10.83,8,13,5,13,6,15,19,45,10.83,2
15145,65,,0,R,2,45,U,F,,0,N,0,0,433,200,73,10256,0,42,26,33,1,0,A,1,0.095,20,0,0,2,0,20,19,46,74,6,12.33,15,20,5,20,6,13,20,56,12.33,2
15146,17,55,0,R,2,47,U,M,3,0,P,0,,386,196,84,7220,1,18,21,53,0,0,F,1,0.143,25,0,0,1,0,20,7,16,25,1,25,0,25,25,25,5,11,20,20,25,0
15147,17,45,0,R,2,48,H,F,4,1,B,3,,619,179,92,8636,0,48,23,46,0,0,F,1,0.143,15,0.333,15,1,1,21,5,13,15,1,15,0,15,15,15,3,8,21,21,15,1
15148,89,68,0,U,2,5,H,F,7,0,P,0,5,1084,440,91,16817,0,46,12,39,0,0,L,1,0.143,26.67,0.1,30,3,1,15,23,55,126,6,21,20,30,10,30,5,12,15,88,21,2
15149,77,,0,T,2,39,U,M,,0,N,0,5,1344,257,5,9134,94,4,13,1,0,0,A,2,0.227,13.4,0.182,14,5,2,18,22,57,105,10,10.5,12,15,3,15,6,13,18,66,10.5,4
15150,125,62,1,?,?,,U,F,,0,N,0,7,2880,511,61,25314,0,0,0,0,1,0,A,1,0.158,10.33,0.2,9.5,3,2,18,30,113,158,19,8.32,10,15,5,15,6,32,13,124,8.32,7
15151,89,44,0,C,1,24,H,M,5,0,B,2,8,2720,473,60,17488,0,18,68,10,0,0,A,1,0.2,13.25,0.222,13,4,2,18,22,53,79,8,9.88,10,15,5,15,6,13,18,79,9.88,6
15152,113,73,0,T,2,36,H,M,2,1,B,19,3,568,220,68,12599,0,37,28,28,1,1,S,4,0.263,5,0.25,5,5,2,16,26,68,94,20,4.7,4,7,3,5,5,13,16,104,4.7,9
15153,101,,0,T,2,39,U,M,4,1,M,0,2,685,332,83,11943,1,23,39,25,1,14,A,1,0.048,25,0,0,1,0,26,24,64,115,10,11.5,20,25,5,25,5,10,26,98,11.5,7
15154,77,42,0,S,1,15,H,M,6,0,B,5,7,1861,402,33,22794,1,23,45,15,0,0,A,3,0.182,17.75,0.273,20.33,4,3,16,21,57,140,10,14,15,21,6,21,6,14,16,69,14,5
15155,41,55,0,C,1,24,H,F,6,1,B,3,5,893,353,58,15472,0,30,27,30,0,0,A,3,0.263,13,0.3,15,5,3,21,16,38,80,7,11.43,15,20,5,15,6,13,21,45,11.43,4
15156,41,84,0,T,2,38,U,M,2,1,B,0,,430,117,30,8655,13,34,36,23,0,0,A,1,0.067,25,0,0,1,0,20,11,30,35,2,17.5,15,25,10,25,6,13,20,40,17.5,1
15157,17,57,0,T,1,35,U,F,5,0,P,0,,767,518,97,19559,2,29,28,37,0,0,F,1,0.2,15,0.5,15,1,1,19,5,13,15,1,15,0,15,15,15,4,10,19,19,15,1
15158,113,53,0,C,3,30,H,F,1,0,P,0,1,369,173,60,9010,0,28,26,19,1,0,A,4,0.278,6.4,0.333,6.33,5,3,18,26,66,95,15,6.33,8,11,3,7,6,13,18,110,6.33,8
15159,77,76,0,S,3,21,U,M,1,0,P,0,7,509,257,63,12492,0,40,23,31,0,0,A,1,0.105,15,0,0,2,0,18,18,49,65,6,10.83,10,15,5,15,5,13,18,68,10.83,1
15160,77,38,0,S,1,12,H,M,6,0,P,0,,1493,498,93,19611,0,28,9,45,0,0,A,2,0.105,13,0.125,15,2,1,17,19,51,61,7,8.71,10,15,5,15,6,13,17,77,8.71,2
15161,65,44,0,S,1,14,H,F,7,0,P,0,9,3071,626,93,24844,0,29,47,24,1,1,S,2,0.158,20,0.182,17.5,3,2,26,24,57,188,15,12.53,20,25,5,10,6,13,18,65,12.53,6
15162,101,75,0,U,1,2,H,F,5,0,B,32,,2346,569,86,21982,0,48,41,35,1,0,A,3,0.267,9,0.286,10,4,2,22,21,55,90,13,6.92,7,10,3,10,6,12,22,93,6.92,6
15163,41,66,0,R,1,42,U,M,,0,N,0,3,1566,385,73,15898,0,43,45,29,1,0,A,2,0.25,26,0.3,25.33,5,3,17,16,42,165,7,23.57,22,32,10,32,6,15,17,45,23.57,4
15164,89,73,0,T,2,39,U,F,,1,N,0,1,690,268,83,12602,0,27,33,29,1,13,A,1,0.095,22.5,0.1,20,2,1,23,23,64,166,11,15.09,20,25,5,25,6,13,23,88,15.09,6
15165,89,78,1,R,2,45,U,M,,0,N,0,1,404,213,78,10941,0,29,33,44,0,0,A,1,0.059,25,0.143,25,1,1,20,23,79,130,7,18.57,15,25,10,25,6,33,16,88,18.57,4
15166,77,58,0,U,1,1,H,F,3,0,B,25,7,1607,280,27,17379,0,15,37,29,0,0,A,1,0.053,25,0.111,25,1,1,17,21,53,100,5,20,20,25,5,25,6,13,17,75,20,3
15167,89,64,0,R,3,53,U,M,2,1,M,11,1,362,209,88,8558,0,40,15,63,1,0,A,4,0.2,11,0.333,10.67,4,3,16,24,70,175,18,9.72,10,15,5,10,6,15,15,89,9.72,8
