CONTROL_NUMBER_N,TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
2127,1,89,41,0,C,1,22,U,M,2,0,M,0,5,759,270,39,13278,0,19,10,47,1,0,A,3,0.111,20,0.125,20,2,1,21,23,58,148,8,18.5,22,25,3,25,6,14,18,89,18.5,5
2128,0,137,41,0,C,2,25,U,M,,0,N,0,4,1184,333,42,18068,0,26,43,27,1,1,S,4,0.5,5,0.727,5,10,8,21,34,78,199,40,4.98,5,7,2,5,6,11,21,130,4.98,24
2129,0,29,63,0,?,?,,H,F,6,0,B,0,,2284,452,81,22563,0,0,0,0,0,0,N,1,0,0,0,0,0,0,,6,15,25,1,25,0,25,25,25,4,10,23,23,25,0
2130,1,29,,0,C,2,28,U,F,2,1,P,0,,845,334,72,25715,0,37,15,58,0,0,A,3,0.231,6.33,0.333,4.5,3,2,17,10,26,25,4,6.25,7,10,3,6,6,13,17,28,6.25,2
2131,0,17,,0,C,3,30,U,M,,0,N,0,,635,221,44,9343,1,26,26,24,1,0,F,1,0.2,25,0.5,25,1,1,16,6,14,25,1,25,0,25,25,25,5,12,16,16,25,1
2132,0,17,63,0,C,2,25,H,M,6,0,B,1,,675,81,1,5211,0,5,26,0,0,0,F,1,0.143,30,0.333,30,1,1,21,7,17,30,1,30,0,30,30,30,5,11,21,21,30,1
2133,0,101,63,0,T,2,39,H,F,2,1,B,26,8,732,333,89,12142,0,34,49,23,1,0,A,4,0.471,7,0.556,7.4,8,5,18,21,49,142,22,6.45,5,10,5,6,4,8,18,101,6.45,12
2134,1,41,65,0,C,3,30,H,F,3,1,B,18,,290,246,51,8204,0,37,57,0,0,0,A,3,0.176,6.67,0.286,6.5,3,2,21,12,30,35,5,7,5,10,5,10,6,12,18,38,7,3
2135,0,137,,0,C,1,22,U,M,,1,N,0,1,882,363,53,14898,22,29,44,19,1,0,E,2,0.375,22.33,0.75,22.33,3,3,19,15,33,109,7,15.57,20,25,5,20,1,5,19,110,15.57,7
2136,1,137,67,0,S,2,18,H,M,5,1,M,24,8,1000,453,83,15134,1,26,33,38,1,1,S,4,0.333,12.33,0.333,12.33,6,3,15,32,77,193,22,8.77,15,18,3,14,6,14,15,130,8.77,12
2137,0,41,,0,T,2,36,U,M,,0,N,0,5,497,240,64,10781,9,37,41,27,0,0,A,3,0.136,30,0.091,25,3,1,15,17,41,150,7,21.43,25,35,10,25,6,14,15,44,21.43,2
2138,0,41,,0,U,1,3,U,M,,0,N,0,,2066,290,33,13469,0,22,24,46,1,1,S,4,0.5,4.11,0.778,4.14,9,7,17,14,34,40,10,4,3,6,3,4,6,13,17,38,4,8
2139,0,89,86,0,S,1,15,H,M,5,0,B,0,6,3228,333,34,17885,0,28,30,30,1,0,A,4,0.316,9.67,0.5,9,6,5,15,24,56,121,12,10.08,13,17,4,8,6,12,15,81,10.08,8
2140,0,41,,0,S,1,15,U,M,,0,N,0,8,1395,376,37,26075,0,20,49,6,1,1,S,4,0.4,4.63,0.4,4.25,8,4,15,16,41,51,13,3.92,3,5,2,5,6,15,15,45,3.92,6
2141,1,65,61,0,C,1,24,H,F,4,1,P,0,9,4705,839,94,41201,1,46,19,43,1,1,S,4,0.222,13,0.375,12.67,4,3,16,18,53,106,11,9.64,9,14,5,10,6,15,15,64,9.64,7
2142,0,137,7,1,C,2,25,H,F,2,1,B,12,5,514,202,44,10540,0,11,11,71,1,1,S,2,0.182,17.5,0.364,17.5,4,4,16,35,91,243,19,12.79,15,20,5,15,7,20,5,123,12.79,15
2143,1,89,76,1,U,1,2,H,M,5,1,B,1,9,4068,753,94,31920,0,21,37,51,1,14,A,1,0.1,13,0.222,13,2,2,24,22,67,64,10,6.4,13,15,2,15,6,14,24,81,6.4,7
2144,1,29,29,0,T,2,39,U,M,2,0,P,0,,631,370,83,12100,0,34,50,19,0,0,A,3,0.25,7.5,0.375,6,4,3,24,11,25,33,5,6.6,9,12,3,3,5,11,24,29,6.6,3
2145,0,53,,0,S,1,14,U,F,,0,N,0,,2712,1085,97,44347,0,39,20,35,0,0,E,1,0.25,17.5,0.25,15,2,1,19,8,21,115,10,11.5,15,20,5,15,1,5,19,53,11.5,6
2146,0,41,83,0,C,3,32,H,F,1,1,P,0,,368,73,26,3367,0,28,10,20,0,0,A,3,0.19,10.75,0.2,12,4,2,16,15,38,80,8,10,10,15,5,13,6,14,16,42,10,3
2147,0,113,,0,R,2,43,U,M,,0,N,0,3,443,281,85,11438,0,31,26,35,0,0,A,1,0.091,30,0.182,30,2,2,22,28,65,195,10,19.5,25,30,5,30,6,13,22,104,19.5,7
2148,0,17,44,0,T,2,36,U,M,1,0,P,0,,437,230,75,11861,0,37,23,44,0,0,F,1,0.2,20,0.5,20,1,1,17,6,14,20,1,20,0,20,20,20,5,11,17,17,20,1
2149,0,29,32,0,C,2,26,H,M,4,1,B,6,,889,297,39,16083,26,34,49,28,1,0,A,4,0.429,6.83,0.429,8,6,3,15,11,26,47,7,6.71,5,10,5,5,6,13,15,28,6.71,3
2150,0,17,51,0,S,1,14,H,M,6,1,M,3,,2444,856,99,27390,0,25,56,28,0,0,F,1,0.2,20,0.5,20,1,1,16,6,13,20,1,20,0,20,20,20,5,11,16,16,20,1
2151,0,65,17,0,T,2,39,H,F,4,1,B,1,,786,266,75,9765,0,21,42,47,0,0,A,1,0.077,20,0.2,20,1,1,23,14,38,50,3,16.67,10,20,10,20,4,10,23,62,16.67,3
2152,0,41,,0,U,3,8,U,F,,0,N,0,,1563,319,77,13778,0,31,0,75,0,0,A,1,0.105,20.5,0.25,20.5,2,2,15,13,31,47,3,15.67,19,25,6,25,5,12,15,41,15.67,3
2153,0,53,,0,C,1,24,U,F,,0,N,0,9,2829,630,88,23745,0,33,36,17,0,0,A,2,0.19,11.75,0.2,11.5,4,2,18,20,49,96,9,10.67,9,14,5,14,6,14,18,53,10.67,4
2154,0,101,49,0,U,1,1,U,F,,0,N,0,9,1044,312,11,41360,0,24,14,36,0,0,A,4,0.273,13.33,0.182,15,6,2,16,26,67,222,19,11.68,10,15,5,5,6,15,16,91,11.68,5
2155,0,113,44,1,R,2,48,U,F,,0,N,0,1,575,163,81,9178,0,51,24,54,1,0,A,3,0.15,31,0.273,31,3,3,17,30,121,588,19,30.95,75,100,25,33,6,31,17,113,30.95,8
2156,0,41,37,0,C,2,27,H,F,5,0,P,0,,899,489,91,16749,4,32,45,23,0,0,A,1,0.105,20,0.222,20,2,2,17,14,33,50,3,16.67,10,20,10,20,6,12,17,41,16.67,3
2157,1,29,72,0,C,2,26,U,F,,1,N,0,,795,352,66,18613,0,28,10,88,0,0,N,3,0.273,7.33,0.4,6,3,2,17,9,21,22,3,7.33,5,10,5,7,6,12,17,24,7.33,2
2158,1,29,,0,T,2,37,U,F,,1,N,0,,636,311,60,16133,0,44,28,45,0,0,E,2,0.429,16.67,0.25,10,3,1,18,6,11,50,3,16.67,10,20,10,20,2,4,18,33,16.67,1
2159,1,125,51,0,C,2,28,H,F,3,1,B,1,6,588,332,87,18496,0,33,21,52,1,1,S,3,0.3,5.83,0.364,5,6,4,22,28,61,113,19,5.95,6,10,4,5,6,11,22,124,5.95,10
2160,0,41,42,0,S,2,18,H,F,6,1,B,3,,589,292,78,10505,1,19,54,2,0,0,A,1,0.105,20,0.1,20,2,1,19,15,33,48,4,12,17,20,3,20,6,12,19,41,12,2
2161,0,41,,0,T,2,36,U,F,,0,N,0,,477,192,46,8825,21,37,45,19,0,0,A,1,0.059,20,0.125,20,1,1,18,12,30,40,2,20,0,20,20,20,4,10,18,41,20,2
2162,0,29,38,0,S,2,18,H,F,5,0,M,1,,1068,316,77,16414,0,13,0,75,1,0,A,3,0.308,6.75,0.5,5.67,4,3,16,10,24,27,4,6.75,5,10,5,7,6,14,16,28,6.75,3
2163,0,113,,0,?,?,,U,U,,0,N,0,0,972,149,22,9734,0,0,0,0,0,0,A,1,0.077,15,0.2,15,1,1,16,23,59,74,10,7.4,10,15,5,5,5,15,8,109,7.4,4
2164,0,29,42,0,C,2,28,H,F,3,1,B,9,,493,244,73,12105,4,64,39,26,0,0,A,1,0.154,10,0.2,5,2,1,18,8,20,20,2,10,10,15,5,15,4,10,18,30,10,1
2165,1,137,81,0,U,3,9,H,M,4,1,B,1,1,1032,305,39,18324,0,33,35,26,1,0,A,2,0.368,9,0.4,8.25,7,4,17,35,98,214.5,31,6.92,12,15,3,10,9,25,6,123,6.92,12
2166,0,89,87,1,C,2,29,H,M,2,1,B,20,5,1027,292,95,29386,0,49,9,89,1,1,S,2,0.238,14.2,0.273,14,5,3,19,28,72,218,18,12.11,14,17,3,15,6,14,19,85,12.11,10
2167,0,77,,0,S,3,21,U,M,,0,N,0,,1556,259,92,14141,6,43,35,60,1,0,A,1,0.1,15,0.111,16,2,1,24,21,53,77,7,11,11,16,5,16,6,11,24,77,11,6
2168,1,65,,0,S,1,11,U,U,,0,N,0,8,2206,574,85,12225,0,18,51,41,1,0,A,3,0.167,10.67,0.25,11,3,2,16,17,48,59,7,8.43,9,12,3,4,6,15,15,64,8.43,4
2169,0,41,49,0,U,2,5,H,F,5,0,P,0,,1145,404,68,15443,0,44,26,13,1,0,A,4,0.316,6.67,0.5,7,6,5,20,15,33,48,8,6,7,10,3,6,6,11,20,40,6,5
2170,0,65,36,0,S,1,12,H,F,7,1,B,1,,1001,517,89,15341,0,35,69,3,1,0,A,3,0.158,8,0.222,8,3,2,21,21,53,98,13,7.54,17,20,3,6,6,12,18,65,7.54,7
2171,0,41,,0,T,2,38,H,F,6,0,P,0,,847,113,21,5545,0,11,29,17,1,0,A,1,0.158,12,0.333,12,3,3,24,14,32,39,4,9.75,13,16,3,16,6,11,24,40,9.75,4
2172,0,17,35,0,T,2,36,H,F,7,0,B,0,,685,284,88,12550,0,41,31,30,0,0,F,1,0.2,20,0.5,20,1,1,17,6,15,20,1,20,0,20,20,20,5,12,17,17,20,1
2173,1,29,75,0,S,2,16,U,M,2,0,P,0,,688,232,46,11778,0,34,33,33,0,0,N,2,0.286,12.5,0.5,12.5,2,2,17,8,17,25,2,12.5,5,15,10,15,6,12,17,23,12.5,2
2174,0,29,31,0,R,1,42,H,F,6,0,P,0,,814,347,77,12892,0,47,25,32,0,0,N,2,0.182,12.5,0.4,12.5,2,2,17,9,20,25,2,12.5,5,15,10,15,6,12,17,23,12.5,2
2175,0,77,80,1,U,4,10,U,F,1,1,M,3,4,400,237,54,9655,0,23,31,36,1,1,S,3,0.3,5.67,0.2,6,6,2,17,25,93,156,28,5.57,7,10,3,5,6,26,6,74,5.57,8
2176,0,17,49,0,T,2,36,H,M,2,0,P,0,,577,320,92,13450,0,39,25,33,0,0,F,1,0.143,20,0.333,20,1,1,20,6,15,20,1,20,0,20,20,20,4,10,20,20,20,1
2177,0,41,44,0,T,1,35,U,F,4,0,M,3,7,1060,415,75,15630,0,37,61,0,0,0,A,2,0.176,15,0.286,15,3,2,22,13,33,50,4,12.5,10,15,5,15,6,12,22,45,12.5,3
2178,1,53,81,0,U,3,9,U,F,2,1,M,2,4,639,263,42,10566,0,26,44,57,1,0,A,3,0.176,25,0.333,25,3,3,16,15,38,130,10,13,27,30,3,30,4,10,16,53,13,6
2179,1,137,75,0,T,2,39,H,F,2,0,P,0,4,456,238,63,10293,0,36,35,28,1,3,A,1,0.1,14,0.1,16,2,1,26,31,75,187,17,11,15,18,3,12,4,10,26,124,11,8
2180,0,17,73,0,S,3,21,H,F,5,0,B,6,,964,287,71,9733,0,33,44,16,0,0,F,1,0.2,25,0.5,25,1,1,17,6,16,25,1,25,25,25,0,0,5,13,16,17,25,1
2181,1,137,68,0,R,2,49,U,M,4,1,B,1,1,363,250,65,13053,0,31,33,43,1,1,S,3,0.158,10,0.111,10,3,1,18,31,75,129,22,5.86,10,12,2,10,6,13,18,125,5.86,13
2182,0,77,67,0,S,2,16,H,F,4,0,B,3,6,578,359,70,15462,0,39,40,24,0,0,A,2,0.188,13,0.286,12,3,2,18,18,48,60,6,10,10,15,5,15,6,13,18,77,10,5
2183,0,65,,0,C,2,28,U,M,,0,N,0,,629,262,60,12706,0,43,39,43,0,0,A,3,0.273,13.67,0.25,15,3,1,19,14,41,55,5,11,10,15,5,15,6,13,19,63,11,2
2184,0,89,54,0,S,1,12,H,F,7,1,B,15,6,902,552,95,21312,0,31,34,19,1,0,A,2,0.176,15.67,0.143,17,3,1,15,21,58,88,8,11,12,17,5,17,5,13,15,86,11,4
2185,0,29,,0,R,3,51,U,M,,0,N,0,,427,207,80,10010,0,25,33,0,0,0,A,2,0.143,14,0.25,14,2,2,21,12,27,44,4,11,9,15,6,10,6,14,18,29,11,2
2186,1,77,67,0,U,2,5,H,F,5,0,B,0,6,1387,406,86,12732,0,22,16,35,0,0,A,1,0.111,16,0,0,2,0,18,18,47,57,5,11.4,12,17,5,17,5,11,18,76,11.4,1
2187,1,89,72,0,R,3,51,U,M,1,1,B,7,0,267,208,90,8548,0,31,23,40,0,0,A,1,0.095,20,0.2,20,2,2,24,25,62,171,10,17.1,10,20,10,20,6,11,24,89,17.1,6
2188,0,17,53,0,T,1,35,U,M,7,1,B,4,,1681,532,83,19024,1,37,41,18,0,0,F,1,0.2,20,0.333,20,1,1,21,6,13,20,1,20,0,20,20,20,4,10,21,21,20,1
2189,0,53,59,0,U,1,2,H,F,6,0,P,0,9,2532,624,82,31757,0,24,19,50,0,0,A,2,0.188,14.67,0,0,3,0,18,17,39,66,5,13.2,6,16,10,16,6,11,18,53,13.2,1
2190,0,29,35,0,C,3,30,U,F,4,0,P,0,,942,229,53,12167,0,38,32,18,0,0,A,1,0.167,12.5,0.2,5,2,1,19,8,22,25,2,12.5,15,20,5,20,4,12,19,29,12.5,1
2191,0,101,75,0,S,1,15,U,M,,1,N,0,1,4276,375,43,26216,0,31,32,23,1,0,A,1,0.077,11,0,0,1,0,18,21,61,169,20,8.45,8,13,5,11,5,12,18,93,8.45,7
2192,0,89,48,0,S,1,12,H,M,5,1,B,3,7,803,427,84,14342,4,33,51,18,1,1,S,3,0.313,12.8,0.444,12.5,5,4,21,22,56,108,11,9.82,9,14,5,13,6,13,21,80,9.82,8
2193,0,137,58,0,U,4,10,H,F,2,0,P,0,0,518,251,45,7027,0,18,43,17,1,0,A,1,0.105,25,0.111,25,2,1,15,29,65,130,8,16.25,20,25,5,25,5,12,15,115,16.25,4
2194,1,125,42,0,C,2,27,H,F,5,1,B,2,7,801,301,80,13339,1,37,13,44,1,1,S,2,0.136,35,0.091,30,3,1,18,33,78,228,15,15.2,48,50,2,25,6,13,18,124,15.2,9
2195,0,89,63,0,R,2,45,U,F,,0,N,0,1,379,215,71,10304,0,22,29,29,1,0,A,1,0.053,20,0,0,1,0,20,23,61,129,9,14.33,20,25,5,20,6,13,20,81,14.33,6
2196,0,17,37,0,R,2,49,H,F,6,0,P,0,,842,275,77,13125,0,40,33,27,0,0,F,1,0.2,15,0.5,15,1,1,16,5,13,15,1,15,0,15,15,15,4,11,16,16,15,1
2197,0,41,73,0,C,1,24,H,F,5,0,B,31,,3124,428,66,19266,0,25,15,16,1,0,A,4,0.238,7.6,0.4,7.5,5,4,18,14,33,43,6,7.17,5,10,5,8,6,13,18,36,7.17,4
2198,0,41,,0,T,2,39,H,M,5,1,P,0,,607,305,91,11539,0,36,40,28,1,1,S,4,0.35,3.29,0.5,3.4,7,5,17,16,34,37,11,3.36,5,6,1,5,6,13,17,44,3.36,7
2199,0,137,69,0,T,1,35,H,M,6,1,B,2,8,805,402,74,14734,0,24,44,33,1,4,A,1,0.19,9,0.2,9,4,2,19,33,82,193,28,6.89,9,11,2,10,5,12,19,129,6.89,16
2200,1,77,35,0,?,?,,H,M,2,1,B,1,2,639,242,82,5612,0,0,0,0,1,4,A,1,0.095,8,0.1,10,2,1,16,22,58,131,20,6.55,7,10,3,10,5,13,16,66,6.55,9
2201,0,17,,0,R,1,42,U,F,2,0,P,0,,626,204,51,11996,0,39,27,45,0,0,F,1,0.167,25,0,0,1,0,20,6,17,25,1,25,0,25,25,25,5,12,20,20,25,0
2202,0,137,82,0,C,2,27,H,F,2,1,B,2,2,342,252,56,12385,1,36,21,45,1,1,S,2,0.091,17.5,0.182,17.5,2,2,17,34,78,211,16,13.19,20,25,5,10,6,13,17,126,13.19,12
2203,0,29,70,0,C,2,27,H,F,5,1,B,17,,436,263,70,10795,2,24,38,16,0,0,A,1,0.143,13,0.333,13,2,2,23,9,22,26,2,13,6,16,10,16,4,10,23,29,13,2
2204,0,89,44,0,C,1,24,H,M,7,1,B,6,9,945,546,96,17698,0,31,24,36,1,1,S,3,0.263,4.8,0.4,5,5,4,19,22,55,65,16,4.06,4,7,3,4,5,10,19,79,4.06,8
2205,0,17,51,0,R,2,49,U,F,,0,N,0,,521,290,87,10869,0,28,39,29,0,0,F,1,0.167,20,0,0,1,0,20,5,15,20,1,20,0,20,20,20,4,10,20,20,20,0
2206,1,137,52,0,S,1,13,H,M,7,1,B,13,9,5828,856,78,40064,0,27,8,42,0,0,A,1,0.063,16,0.167,16,1,1,21,25,56,64,6,10.67,11,16,5,16,4,10,21,109,10.67,5
2207,0,137,47,0,S,2,18,H,F,3,0,P,0,,727,361,83,13694,0,35,23,26,1,0,A,2,0.133,22.5,0.143,25,2,1,19,29,68,180,15,12,20,25,5,20,6,13,19,128,12,8
2208,0,41,22,0,S,1,13,H,F,4,1,B,0,,1273,523,78,24602,1,46,13,51,0,0,A,3,0.2,15,0.125,20,3,1,18,11,25,70,6,11.67,15,20,5,15,4,7,18,43,11.67,1
2209,0,29,,0,R,3,51,U,F,,1,N,0,,377,253,78,10524,0,31,25,45,0,0,N,3,0.273,11.33,0.4,11,3,2,18,9,22,34,3,11.33,2,12,10,12,6,13,18,24,11.33,2
2210,1,53,46,0,?,?,,H,M,4,1,P,0,9,600,254,1,9800,0,0,0,0,0,0,A,1,0.1,22.5,0.091,25,2,1,25,19,45,90,6,15,20,25,5,20,6,13,25,53,15,2
2211,1,137,75,0,R,3,50,U,F,1,1,B,1,0,182,171,80,9240,1,30,15,55,1,5,A,1,0.143,15,0.091,20,3,1,21,34,75,154,15,10.27,17,20,3,20,6,12,21,112,10.27,8
2212,0,65,74,0,C,3,30,H,F,1,0,B,9,,237,147,68,8237,0,45,25,34,1,0,A,4,0.25,5,0.4,5,5,4,19,20,48,62,13,4.77,3,5,2,5,6,11,19,65,4.77,7
2213,0,101,74,0,T,1,35,U,U,,0,N,0,9,1173,607,97,17790,0,25,26,27,1,1,S,1,0.1,10,0.111,10,2,1,19,25,65,135,16,8.44,6,11,5,10,6,13,19,92,8.44,10
2214,0,137,71,1,T,2,37,H,F,3,1,B,18,3,547,304,89,19904,0,40,19,45,0,0,A,3,0.238,10,0.1,11,5,1,15,31,73,123,16,7.69,8,11,3,10,8,24,4,124,7.69,7
2215,0,137,87,0,C,2,25,U,F,2,1,B,17,5,521,191,20,12696,0,21,15,39,1,0,A,1,0.063,15,0.143,15,1,1,17,25,63,73,11,6.64,12,15,3,15,4,11,17,126,6.64,8
2216,0,41,,0,?,?,,U,F,,0,N,0,,826,297,72,15488,0,0,0,0,1,0,A,3,0.263,7,0.444,7.25,5,4,20,15,40,53,8,6.63,7,10,3,10,6,16,6,45,6.63,5
2217,0,65,66,0,S,2,18,H,F,3,0,P,0,5,605,310,70,11829,1,25,37,17,1,11,A,1,0.15,13.33,0.1,5,3,1,18,21,51,80,8,10,15,20,5,20,6,15,18,64,10,4
2218,0,137,17,0,C,2,28,U,U,4,0,P,0,3,998,283,82,17979,0,44,29,48,1,1,S,2,0.188,6.67,0.333,6.67,3,3,17,26,55,85,21,4.05,9,10,1,10,4,8,17,130,4.05,15
2219,0,17,,0,S,2,17,U,M,,0,N,0,,1185,423,84,16046,0,31,17,28,0,0,F,1,0.2,20,0.5,20,1,1,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,1
2220,0,137,71,0,C,3,31,H,M,5,0,P,0,6,1222,214,48,10878,3,21,35,11,1,0,A,1,0.067,19,0,0,1,0,17,31,70,159,12,13.25,16,21,5,19,6,13,17,124,13.25,8
2221,0,29,75,0,R,2,46,H,M,2,1,B,10,,881,238,72,11444,0,54,30,43,0,0,A,1,0.105,15,0.111,20,2,1,24,13,28,50,3,16.67,10,20,10,20,6,11,24,32,16.67,1
2222,0,17,59,0,R,2,49,H,M,2,1,B,12,,729,355,90,13504,0,20,44,12,0,0,E,1,0.5,20,0,0,1,0,15,4,10,20,1,20,0,20,20,20,3,8,15,15,20,0
2223,1,101,87,0,R,2,44,H,F,5,1,B,1,4,1976,385,77,13505,0,25,34,20,0,0,A,1,0.067,17,0,0,1,0,18,21,57,72,6,12,12,17,5,17,5,12,18,92,12,4
2224,1,29,72,0,C,1,24,U,M,5,1,M,0,,1569,553,80,27532,2,56,38,52,0,0,N,3,0.2,22.5,0.4,22.5,2,2,17,9,22,55,3,18.33,15,25,10,10,6,13,16,24,18.33,2
2225,0,65,77,0,S,2,20,H,M,1,1,P,0,7,777,321,50,17142,0,19,13,28,0,0,A,2,0.167,10,0.3,10,3,3,21,20,52,90,9,10,12,16,4,10,6,13,18,63,10,4
2226,0,17,67,0,S,2,16,H,M,3,0,B,4,,573,356,89,17513,0,45,12,52,0,0,N,1,0.143,15,0.333,15,1,1,21,5,13,15,1,15,0,15,15,15,3,8,21,21,15,1
2227,0,77,,0,R,2,46,U,M,,0,N,0,,1854,297,43,22186,0,27,27,40,0,0,A,1,0.105,14,0,0,2,0,18,19,48,54,6,9,12,15,3,15,6,15,18,67,9,2
2228,0,41,63,0,U,1,2,H,F,5,1,B,1,,3024,614,79,24006,0,34,25,40,0,0,A,2,0.15,16.67,0.222,15,3,2,15,15,33,60,4,15,10,20,10,20,6,13,15,39,15,3
2229,0,65,55,0,S,1,12,H,F,6,1,P,0,7,2424,455,82,16458,0,26,16,43,0,0,A,1,0.053,15,0.111,15,1,1,17,18,49,62,5,12.4,5,15,10,15,6,12,17,63,12.4,3
2230,0,17,37,0,S,1,14,H,M,7,0,B,1,,1331,503,65,22045,0,36,44,7,0,0,F,1,0.2,23,0,0,1,0,16,6,14,23,1,23,0,23,23,23,5,12,16,16,23,0
2231,1,29,,0,C,1,22,H,F,2,0,B,11,,1173,322,63,18738,1,39,24,54,1,1,S,4,0.5,4.29,0.75,4,7,6,17,13,29,33,8,4.13,3,6,3,3,7,13,4,33,4.13,7
2232,0,137,57,0,T,3,41,U,F,3,0,M,0,,816,421,88,14399,87,7,18,0,1,4,A,1,0.273,13,0.4,13.5,3,2,25,23,47,198,20,9.9,11,14,3,13,5,10,25,110,9.9,15
2233,0,17,65,0,R,1,42,U,M,2,1,B,13,,880,425,89,17276,0,27,29,31,0,0,N,2,0.25,15,0.5,15,1,1,17,6,14,35,2,17.5,5,20,15,20,5,11,15,17,17.5,1
2234,0,89,63,0,R,3,53,U,F,1,1,B,2,,150,173,76,9577,0,22,22,60,1,1,S,4,0.353,5.33,0.429,6.67,6,3,15,19,47,52,12,4.33,5,7,2,5,4,10,15,86,4.33,7
2235,0,29,57,0,C,1,24,U,M,1,0,P,0,,373,168,52,7538,0,34,46,34,1,0,A,4,0.667,8,0.571,8.5,8,4,17,11,26,90,11,8.18,6,11,5,10,6,13,15,32,8.18,4
2236,1,65,49,0,S,3,21,U,M,,0,N,0,3,453,282,86,10847,0,40,15,29,1,1,S,3,0.238,8,0.1,8,5,1,18,22,53,147,18,8.17,9,12,3,8,6,13,18,65,8.17,5
2237,1,29,72,0,S,1,14,H,M,5,1,B,12,,1063,631,98,22324,0,37,17,32,1,0,N,3,0.273,8,0.4,7,3,2,16,9,24,24,3,8,5,10,5,9,6,13,16,24,8,2
2238,0,113,71,0,C,2,27,H,M,4,1,B,5,5,695,363,63,13881,0,32,57,40,0,0,A,1,0,0,0,0,0,0,,24,60,95,5,19,15,25,10,20,6,13,18,101,19,2
2239,0,29,,0,C,2,26,U,M,2,1,M,2,,1315,328,62,15767,0,38,22,50,0,0,N,2,0.182,10,0.4,10,2,2,17,9,21,20,2,10,10,15,5,15,6,12,17,24,10,2
2240,1,137,,0,C,3,30,H,F,1,0,B,0,0,641,123,24,8046,0,26,31,63,1,1,S,4,0.5,12.09,0.455,10.8,11,5,18,35,91,511,54,9.46,19,22,3,13,5,12,18,129,9.46,25
2241,0,53,76,0,U,1,2,H,F,5,1,B,8,8,865,398,81,18953,0,36,19,63,1,1,S,3,0.368,7.86,0.4,6.75,7,4,19,17,40,86,12,7.17,5,10,5,9,5,11,19,52,7.17,7
2242,0,137,41,0,U,4,10,U,M,1,0,P,0,1,1642,230,24,6664,0,9,49,39,0,0,A,1,0.1,27.5,0.1,30,2,1,25,31,67,117,10,11.7,25,30,5,25,6,12,25,130,11.7,7
2243,0,137,52,0,C,2,27,H,M,7,1,B,16,6,670,324,53,13201,1,23,56,8,1,1,S,3,0.316,7.33,0.364,7.25,6,4,17,34,83,165,34,4.85,9,10,1,10,6,15,17,127,4.85,22
2244,1,137,71,0,T,1,34,H,F,6,1,B,11,7,829,345,70,16592,0,35,17,46,1,1,S,3,0.263,10,0.273,13.33,5,3,18,31,69,212,20,10.6,10,15,5,5,4,8,18,130,10.6,12
2245,0,17,66,0,U,1,2,H,M,4,1,B,6,,1307,438,89,19100,0,37,18,52,0,0,F,1,0.2,20,0,0,1,0,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,0
2246,0,41,46,0,S,1,12,H,F,2,0,P,0,,875,470,89,14589,0,33,67,7,0,0,A,1,0.118,22.5,0.125,20,2,1,25,12,28,45,2,22.5,5,25,20,25,6,12,25,35,22.5,1
2247,1,29,53,0,S,1,12,H,M,6,0,P,0,,902,435,83,16699,0,27,34,22,0,0,A,1,0.154,10,0.2,5,2,1,19,8,22,20,2,10,10,15,5,15,4,10,19,33,10,1
2248,0,53,73,0,S,1,11,H,M,5,1,B,17,9,1002,389,52,20929,0,20,39,19,1,1,S,4,0.3,22,0.455,21.4,6,5,18,19,45,229,14,16.36,20,25,5,25,6,14,18,52,16.36,7
2249,0,137,59,0,T,1,35,H,M,5,1,B,1,9,2298,780,92,30816,0,32,37,27,1,1,S,3,0.333,14.2,0.333,15,5,3,15,21,46,174,18,9.67,14,17,3,10,4,7,15,128,9.67,10
2250,0,53,,0,U,2,7,U,M,,0,N,0,5,0,0,0,0,0,36,30,39,0,0,A,1,0.095,15,0,0,2,0,15,17,42,53,5,10.6,10,15,5,15,5,11,15,53,10.6,1
